,Filename,Mean Pr,STDev Pr,TransDispersivity,Flowrate,MajorAnisotropy,MinAnisotropy,Porosity,OveralRate,AveragePorosity,PV E-1,br E-1,targetC E-1,t E-1,PV E-2,br E-2,targetC E-2,t E-2,PV E-3,br E-3,targetC E-3,t E-3
0,out-flow1-0.005/17576-1123-100-100@1,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.47284347,9.88E-06,1.00E-05,1.10330143,0.512944899,1.03E-06,1.00E-06,1.19687143,0.545407346,9.71E-08,1.00E-07,1.27261714
1,out-flow1-0.005/17576-1123-100-100@10,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.472964696,9.86E-06,1.00E-05,1.10358429,0.513391226,9.97E-07,1.00E-06,1.19791286,0.54463041,1.03E-07,1.00E-07,1.27080429
2,out-flow1-0.005/17576-1123-100-100@2,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.468031226,1.05E-05,1.00E-05,1.09207286,0.507107756,9.89E-07,1.00E-06,1.18325143,0.536414696,1.02E-07,1.00E-07,1.25163429
3,out-flow1-0.005/17576-1123-100-100@3,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.469735714,9.72E-06,1.00E-05,1.09605,0.50810694,9.42E-07,1.00E-06,1.18558286,0.536884899,1.02E-07,1.00E-07,1.25273143
4,out-flow1-0.005/17576-1123-100-100@4,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.468578571,1.05E-05,1.00E-05,1.09335,0.508035304,9.93E-07,1.00E-06,1.18541571,0.538097143,9.95E-08,1.00E-07,1.25556
5,out-flow1-0.005/17576-1123-100-100@5,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.469421631,1.04E-05,1.00E-05,1.09531714,0.510221019,9.43E-07,1.00E-06,1.19051571,0.539362654,1.05E-07,1.00E-07,1.25851286
6,out-flow1-0.005/17576-1123-100-100@6,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.473515714,1.04E-05,1.00E-05,1.10487,0.51808041,9.47E-07,1.00E-06,1.20885429,0.55102041,9.37E-08,1.00E-07,1.28571429
7,out-flow1-0.005/17576-1123-100-100@7,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.472354899,9.89E-06,1.00E-05,1.10216143,0.512160613,1.03E-06,1.00E-06,1.19504143,0.544386124,9.73E-08,1.00E-07,1.27023429
8,out-flow1-0.005/17576-1123-100-100@8,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.474200816,9.98E-06,1.00E-05,1.10646857,0.515497959,1.03E-06,1.00E-06,1.20282857,0.547409387,1.06E-07,1.00E-07,1.27728857
9,out-flow1-0.005/17576-1123-100-100@9,17576,1123,0.005,1,100,100,0.35,-2.17E-19,35,0.469739387,1.04E-05,1.00E-05,1.09605857,0.51004653,9.83E-07,1.00E-06,1.19010857,0.540754899,9.83E-08,1.00E-07,1.26176143
10,out-flow1-0.005/17576-11232-1-1@1,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.47203347,1.01E-05,1.00E-05,1.10141143,0.513350816,1.00E-06,1.00E-06,1.19781857,0.545754489,1.01E-07,1.00E-07,1.27342714
11,out-flow1-0.005/17576-11232-1-1@10,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.471576124,1.02E-05,1.00E-05,1.10034429,0.512886124,1.00E-06,1.00E-06,1.19673429,0.545181429,9.92E-08,1.00E-07,1.27209
12,out-flow1-0.005/17576-11232-1-1@2,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.472005917,1.01E-05,1.00E-05,1.10134714,0.51336,9.88E-07,1.00E-06,1.19784,0.54511347,1.01E-07,1.00E-07,1.27193143
13,out-flow1-0.005/17576-11232-1-1@3,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.472029797,1.01E-05,1.00E-05,1.10140286,0.51346653,1.02E-06,1.00E-06,1.19808857,0.546615917,1.02E-07,1.00E-07,1.27543714
14,out-flow1-0.005/17576-11232-1-1@4,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.472237346,9.94E-06,1.00E-05,1.10188714,0.512935714,1.01E-06,1.00E-06,1.19685,0.545185101,9.99E-08,1.00E-07,1.27209857
15,out-flow1-0.005/17576-11232-1-1@5,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.472108774,9.95E-06,1.00E-05,1.10158714,0.513062447,9.82E-07,1.00E-06,1.19714571,0.54500694,9.83E-08,1.00E-07,1.27168286
16,out-flow1-0.005/17576-11232-1-1@6,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.471855304,1.01E-05,1.00E-05,1.10099571,0.513249797,9.82E-07,1.00E-06,1.19758286,0.54535041,9.88E-08,1.00E-07,1.27248429
17,out-flow1-0.005/17576-11232-1-1@7,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.472209797,9.94E-06,1.00E-05,1.10182286,0.512638161,1.02E-06,1.00E-06,1.19615571,0.544979387,9.93E-08,1.00E-07,1.27161857
18,out-flow1-0.005/17576-11232-1-1@8,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.47210694,1.01E-05,1.00E-05,1.10158286,0.513459184,9.95E-07,1.00E-06,1.19807143,0.546198981,9.71E-08,1.00E-07,1.27446429
19,out-flow1-0.005/17576-11232-1-1@9,17576,11232,0.005,1,1,1,0.35,-2.17E-19,35,0.47197653,9.99E-06,1.00E-05,1.10127857,0.512913673,9.95E-07,1.00E-06,1.19679857,0.545321019,9.78E-08,1.00E-07,1.27241571
20,out-flow1-0.005/17576-11232-10-10@1,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.498127959,9.94E-06,1.00E-05,1.16229857,0.57895347,9.93E-07,1.00E-06,1.35089143,0.640675101,1.01E-07,1.00E-07,1.49490857
21,out-flow1-0.005/17576-11232-10-10@10,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.500315511,1.00E-05,1.00E-05,1.16740286,0.576751226,1.01E-06,1.00E-06,1.34575286,0.641835917,9.90E-08,1.00E-07,1.49761714
22,out-flow1-0.005/17576-11232-10-10@2,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.497670613,1.01E-05,1.00E-05,1.16123143,0.57990306,1.00E-06,1.00E-06,1.35310714,0.647744696,1.00E-07,1.00E-07,1.51140429
23,out-flow1-0.005/17576-11232-10-10@3,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.498205101,1.00E-05,1.00E-05,1.16247857,0.568858774,9.92E-07,1.00E-06,1.32733714,0.627621429,9.91E-08,1.00E-07,1.46445
24,out-flow1-0.005/17576-11232-10-10@4,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.501369797,1.00E-05,1.00E-05,1.16986286,0.57308694,1.01E-06,1.00E-06,1.33720286,0.632147143,1.01E-07,1.00E-07,1.47501
25,out-flow1-0.005/17576-11232-10-10@5,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.497591631,1.01E-05,1.00E-05,1.16104714,0.589904083,9.96E-07,1.00E-06,1.37644286,0.65930694,1.00E-07,1.00E-07,1.53838286
26,out-flow1-0.005/17576-11232-10-10@6,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.501775714,1.00E-05,1.00E-05,1.17081,0.574868571,9.98E-07,1.00E-06,1.34136,0.631855101,1.00E-07,1.00E-07,1.47432857
27,out-flow1-0.005/17576-11232-10-10@7,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.50170959,1.01E-05,1.00E-05,1.17065571,0.576672244,1.00E-06,1.00E-06,1.34556857,0.639382041,1.01E-07,1.00E-07,1.49189143
28,out-flow1-0.005/17576-11232-10-10@8,17576,11232,0.005,1,10,10,0.35,-2.17E-19,35,0.498642244,9.98E-06,1.00E-05,1.16349857,0.56190306,1.00E-06,1.00E-06,1.31110714,0.614281226,1.01E-07,1.00E-07,1.43332286
